# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jun  6 17:18:26 2015
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN hd_name:        HD Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN st_age:         Stellar Age [Gyr]
#
rowid,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,pl_orbincl,st_dist,st_teff,st_mass,st_rad,hd_name,pl_name,pl_masse,pl_rade,st_age
757,2.02415200,0.032000,,,,,5790.00,0.9900,1.27,,Kepler-142 b,,1.990,
758,4.76170200,0.057000,,,,,5790.00,0.9900,1.27,,Kepler-142 c,,2.860,
759,41.80911800,0.242000,,,,,5790.00,0.9900,1.27,,Kepler-142 d,,2.160,
760,16.00758300,0.127000,,,,,5848.00,,1.36,,Kepler-143 b,,2.410,
761,27.08251100,0.181000,,,,,5848.00,,1.36,,Kepler-143 c,,3.370,
762,5.88527300,0.066000,,,,,6075.00,1.0300,1.24,,Kepler-144 b,,1.330,
763,10.10466500,0.094000,,,,,6075.00,1.0300,1.24,,Kepler-144 c,,1.350,
764,22.95100000,,,,,,6022.00,1.3200,1.85,,Kepler-145 b,37.10000,2.650,
765,42.88200000,,,,,,6022.00,1.3200,1.85,,Kepler-145 c,79.40000,4.320,
766,31.15879900,0.200000,,,,,5948.00,,1.21,,Kepler-146 b,,3.710,
767,76.73217100,0.364000,,,,,5948.00,,1.21,,Kepler-146 c,,3.130,
768,12.61058400,0.113000,,,,,6012.00,1.0100,1.47,,Kepler-147 b,,1.530,
769,33.41642300,0.216000,,,,,6012.00,1.0100,1.47,,Kepler-147 c,,2.430,
770,1.72936600,0.028000,,,,,5272.00,,0.85,,Kepler-148 b,,1.800,
771,4.18004300,0.050000,,,,,5272.00,,0.85,,Kepler-148 c,,3.600,
772,29.19894300,0.184000,,,,,5381.00,,0.95,,Kepler-149 b,,4.210,
773,55.32832800,0.281000,,,,,5381.00,,0.95,,Kepler-149 c,,1.610,
774,160.01803200,0.571000,,,,,5381.00,,0.95,,Kepler-149 d,,3.960,
775,4.94278200,0.057140,0.060000,0.93000,87.440,,5515.00,1.0180,0.99,,Kepler-15 b,209.76000,10.760,3.700
776,3.42805400,0.044000,,,,,5560.00,,0.94,,Kepler-150 b,,1.250,
777,7.38199800,0.073000,,,,,5560.00,,0.94,,Kepler-150 c,,3.690,
778,12.56093000,0.104000,,,,,5560.00,,0.94,,Kepler-150 d,,2.790,
779,30.82655700,0.189000,,,,,5560.00,,0.94,,Kepler-150 e,,3.120,
780,15.22895800,0.116000,,,,,5460.00,0.8300,0.83,,Kepler-151 b,,3.060,
781,24.67461200,0.160000,,,,,5460.00,0.8300,0.83,,Kepler-151 c,,2.090,
782,18.20797300,0.124000,,,,,5088.00,,0.72,,Kepler-152 b,,2.790,
783,88.25505500,0.356000,,,,,5088.00,,0.72,,Kepler-152 c,,2.390,
784,18.87022700,0.129000,,,,,5404.00,,0.89,,Kepler-153 b,,2.920,
785,46.90232000,0.237000,,,,,5404.00,,0.89,,Kepler-153 c,,2.530,
786,33.04053200,0.198000,,,,,5690.00,0.8900,1.00,,Kepler-154 b,,2.260,
787,62.30327600,0.303000,,,,,5690.00,0.8900,1.00,,Kepler-154 c,,2.950,
788,5.93119400,0.056000,,,,,4508.00,0.5800,0.62,,Kepler-155 b,,2.090,
789,52.66179300,0.242000,,,,,4508.00,0.5800,0.62,,Kepler-155 c,,2.240,
790,4.97345600,0.054000,,,,,5094.00,,0.81,,Kepler-156 b,,2.300,
791,15.90680100,0.117000,,,,,5094.00,,0.81,,Kepler-156 c,,2.550,
792,1.73234200,0.028000,,,,,5774.00,,1.04,,Kepler-157 b,,1.320,
793,13.54050000,0.110000,,,,,5774.00,,1.04,,Kepler-157 c,,2.240,
794,16.70918400,0.111000,,,,,4623.00,,0.62,,Kepler-158 b,,2.120,
795,28.55138300,0.158000,,,,,4623.00,,0.62,,Kepler-158 c,,1.900,
796,10.13962300,0.082000,,,,,4625.00,,0.66,,Kepler-159 b,,2.380,
797,43.59579200,0.218000,,,,,4625.00,,0.66,,Kepler-159 c,,3.410,
798,228.77600000,0.704800,0.006900,0.96400,90.032,61.00,4450.00,0.6897,0.65,,Kepler-16 b,105.83300,8.449,
799,4.30942700,0.050000,,,,,5857.00,,0.88,,Kepler-160 b,,1.540,
800,13.69908700,0.109000,,,,,5857.00,,0.88,,Kepler-160 c,,3.610,
801,4.92135500,0.054000,,,,,5078.00,0.7700,0.81,,Kepler-161 b,,2.120,
802,7.06424000,0.068000,,,,,5078.00,0.7700,0.81,,Kepler-161 c,,2.050,
803,6.91979800,0.069000,,,,,5816.00,,0.96,,Kepler-162 b,,1.260,
804,19.44635500,0.137000,,,,,5816.00,,0.96,,Kepler-162 c,,3.030,
805,7.81093700,0.078000,,,,,5776.00,0.9600,0.92,,Kepler-163 b,,1.050,
806,21.34726200,0.152000,,,,,5776.00,0.9600,0.92,,Kepler-163 c,,2.260,
807,5.03503000,0.058000,,,,,5888.00,1.1100,1.15,,Kepler-164 b,,1.410,
808,10.94572300,0.097000,,,,,5888.00,1.1100,1.15,,Kepler-164 c,,2.730,
809,28.98676900,0.187000,,,,,5888.00,1.1100,1.15,,Kepler-164 d,,2.450,
810,8.18084800,0.072000,,,,,5211.00,,0.77,,Kepler-165 b,,2.320,
811,15.31299000,0.110000,,,,,5211.00,,0.77,,Kepler-165 c,,2.230,
812,7.65025400,0.072000,,,,,5413.00,,0.74,,Kepler-166 b,,2.270,
813,34.26028100,0.195000,,,,,5413.00,,0.74,,Kepler-166 c,,2.380,
814,4.39314700,0.048000,,,,,4796.00,0.7600,0.70,,Kepler-167 b,,1.450,
815,7.40609700,0.068000,,,,,4796.00,0.7600,0.70,,Kepler-167 c,,1.370,
816,4.42539100,0.056000,,,,,6282.00,,1.11,,Kepler-168 b,,1.460,
817,13.19324200,0.116000,,,,,6282.00,,1.11,,Kepler-168 c,,2.690,
818,3.25061900,0.040000,,,,,4997.00,0.8600,0.76,,Kepler-169 b,,1.130,
819,6.19546900,0.062000,,,,,4997.00,0.8600,0.76,,Kepler-169 c,,1.210,
820,8.34812500,0.075000,,,,,4997.00,0.8600,0.76,,Kepler-169 d,,1.250,
821,13.76710200,0.105000,,,,,4997.00,0.8600,0.76,,Kepler-169 e,,2.200,
822,87.09019500,0.359000,,,,,4997.00,0.8600,0.76,,Kepler-169 f,,2.580,
823,1.48571080,0.025910,0.011000,1.35000,87.200,800.00,5781.00,1.1600,1.05,,Kepler-17 b,778.65000,14.680,1.780
824,7.93059200,0.080000,,,,,5679.00,,1.03,,Kepler-170 b,,3.200,
825,16.66586300,0.131000,,,,,5679.00,,1.03,,Kepler-170 c,,2.860,
826,4.16697200,0.050000,,,,,5642.00,,0.84,,Kepler-171 b,,2.340,
827,11.46346200,0.098000,,,,,5642.00,,0.84,,Kepler-171 c,,2.560,
828,39.59551900,0.223000,,,,,5642.00,,0.84,,Kepler-171 d,,1.890,
829,2.94030900,0.040000,,,,,5526.00,0.8600,1.08,,Kepler-172 b,,2.350,
830,6.38899600,0.068000,,,,,5526.00,0.8600,1.08,,Kepler-172 c,,2.860,
831,14.62711900,0.118000,,,,,5526.00,0.8600,1.08,,Kepler-172 d,,2.250,
832,35.11873600,0.211000,,,,,5526.00,0.8600,1.08,,Kepler-172 e,,2.760,
833,4.26374200,0.048000,,,,,6031.00,0.7800,0.95,,Kepler-173 b,,1.290,
834,8.00577700,0.074000,,,,,6031.00,0.7800,0.95,,Kepler-173 c,,2.430,
835,13.98179000,0.100000,,,,,4880.00,,0.62,,Kepler-174 b,,1.960,
836,44.00052900,0.214000,,,,,4880.00,,0.62,,Kepler-174 c,,1.490,
837,247.35373000,0.677000,,,,,4880.00,,0.62,,Kepler-174 d,,2.190,
838,11.90351500,0.105000,,,,,6064.00,1.0400,1.01,,Kepler-175 b,,2.560,
839,34.03525700,0.213000,,,,,6064.00,1.0400,1.01,,Kepler-175 c,,3.100,
840,5.43307400,0.058000,,,,,5232.00,,0.89,,Kepler-176 b,,1.430,
841,12.75971200,0.102000,,,,,5232.00,,0.89,,Kepler-176 c,,2.600,
842,25.75197400,0.163000,,,,,5232.00,,0.89,,Kepler-176 d,,2.510,
843,36.85500000,,,,,,5942.00,1.0700,1.07,,Kepler-177 b,2.00000,2.900,
844,49.41200000,,,,,,5942.00,1.0700,1.07,,Kepler-177 c,7.50000,7.100,
845,9.57669400,0.085000,,,,,5676.00,,1.07,,Kepler-178 b,,2.900,
846,20.55280200,0.142000,,,,,5676.00,,1.07,,Kepler-178 c,,2.880,
847,96.67898800,0.397000,,,,,5676.00,,1.07,,Kepler-178 d,,3.950,
848,2.73592600,0.036000,,,,,5302.00,,0.76,,Kepler-179 b,,1.640,
849,6.40013000,0.064000,,,,,5302.00,,0.76,,Kepler-179 c,,2.000,
850,3.50472500,0.044700,0.000000,4.90000,,,5345.00,0.9720,1.11,,Kepler-18 b,6.90000,2.000,10.000
851,7.64159000,0.075200,0.000000,0.59000,87.680,,5345.00,0.9720,1.11,,Kepler-18 c,17.30000,5.490,10.000
852,14.85888000,0.117200,0.000000,0.27000,88.070,,5345.00,0.9720,1.11,,Kepler-18 d,16.40000,6.980,10.000
853,13.81712400,0.109000,,,,,5731.00,0.8400,1.06,,Kepler-180 b,,1.500,
854,41.88577500,0.229000,,,,,5731.00,0.8400,1.06,,Kepler-180 c,,3.010,
855,3.13787300,0.040000,,,,,5333.00,,0.75,,Kepler-181 b,,1.270,
856,4.30214900,0.049000,,,,,5333.00,,0.75,,Kepler-181 c,,1.990,
857,9.82579200,0.096000,,,,,6250.00,1.1400,1.15,,Kepler-182 b,,2.580,
858,20.68434200,0.157000,,,,,6250.00,1.1400,1.15,,Kepler-182 c,,3.430,
859,5.68794500,0.064000,,,,,5888.00,,0.96,,Kepler-183 b,,2.060,
860,11.63707100,0.103000,,,,,5888.00,,0.96,,Kepler-183 c,,2.270,
861,10.68757600,0.092000,,,,,5788.00,,0.87,,Kepler-184 b,,2.360,
862,20.30300500,0.141000,,,,,5788.00,,0.87,,Kepler-184 c,,1.970,
863,29.02235800,0.179000,,,,,5788.00,,0.87,,Kepler-184 d,,2.490,
864,1.63290000,0.026000,,,,,5208.00,0.7900,0.81,,Kepler-185 b,,1.170,
865,20.72904200,0.139000,,,,,5208.00,0.7900,0.81,,Kepler-185 c,,2.020,
866,3.88679070,0.034300,,,,172.00,3755.00,0.5440,0.52,,Kepler-186 b,,1.070,4.000
867,7.26730200,0.045100,,,,172.00,3755.00,0.5440,0.52,,Kepler-186 c,,1.250,4.000
868,13.34299600,0.078100,,,,172.00,3755.00,0.5440,0.52,,Kepler-186 d,,1.400,4.000
869,22.40770400,0.110000,,,,172.00,3755.00,0.5440,0.52,,Kepler-186 e,,1.270,4.000
870,129.94410000,0.432000,0.040000,,89.960,172.00,3755.00,0.5440,0.52,,Kepler-186 f,,1.170,4.000
871,4.93886400,0.059000,,,,,6105.00,0.8500,1.29,,Kepler-187 b,,1.410,
872,10.64026300,0.099000,,,,,6105.00,0.8500,1.29,,Kepler-187 c,,2.670,
873,2.06189700,0.032000,,,,,6021.00,,1.14,,Kepler-188 b,,1.680,
874,5.99655300,0.066000,,,,,6021.00,,1.14,,Kepler-188 c,,3.190,
875,10.39993100,0.088000,,,,,5235.00,0.7900,0.75,,Kepler-189 b,,1.210,
876,20.13486600,0.137000,,,,,5235.00,0.7900,0.75,,Kepler-189 c,,2.380,
877,9.28699440,,0.000000,10.40000,89.940,2119.00,5541.00,0.9360,0.85,,Kepler-19 b,20.30000,2.209,1.900
878,160.00000000,,,,,2119.00,5541.00,0.9360,0.85,,Kepler-19 c,1906.90000,,1.900
879,2.01999900,0.030000,,,,,5106.00,0.8400,0.80,,Kepler-190 b,,1.560,
880,3.76302400,0.045000,,,,,5106.00,0.8400,0.80,,Kepler-190 c,,1.460,
881,9.93963200,0.087000,,,,,5282.00,0.8500,0.79,,Kepler-191 b,,1.340,
882,17.73850600,0.128000,,,,,5282.00,0.8500,0.79,,Kepler-191 c,,1.860,
883,9.92674600,0.090000,,,,,5479.00,,1.01,,Kepler-192 b,,2.740,
884,21.22340000,0.150000,,,,,5479.00,,1.01,,Kepler-192 c,,2.790,
885,11.38848000,0.106000,,,,,6335.00,,1.15,,Kepler-193 b,,2.390,
886,50.69749400,0.286000,,,,,6335.00,,1.15,,Kepler-193 c,,2.750,
887,2.09228100,0.032000,,,,,6089.00,,1.02,,Kepler-194 b,,1.510,
888,17.30803200,0.131000,,,,,6089.00,,1.02,,Kepler-194 c,,2.590,
889,52.81497300,0.275000,,,,,6089.00,,1.02,,Kepler-194 d,,2.400,
890,8.30787200,0.077000,,,,,5329.00,,0.78,,Kepler-195 b,,2.030,
891,34.09686300,0.197000,,,,,5329.00,,0.78,,Kepler-195 c,,1.550,
892,20.73988600,0.138000,,,,,5128.00,,0.78,,Kepler-196 b,,1.900,
893,47.42773700,0.240000,,,,,5128.00,,0.78,,Kepler-196 c,,2.240,
894,5.59930800,0.060000,,,,,6004.00,,1.12,,Kepler-197 b,,1.020,
895,10.34969500,0.090000,,,,,6004.00,,1.12,,Kepler-197 c,,1.230,
896,15.67756300,0.119000,,,,,6004.00,,1.12,,Kepler-197 d,,1.220,
897,25.20971500,0.164000,,,,,6004.00,,1.12,,Kepler-197 e,,0.910,
898,17.79003700,0.131000,,,,,5574.00,0.9300,0.94,,Kepler-198 b,,2.820,
899,49.56741600,0.259000,,,,,5574.00,0.9300,0.94,,Kepler-198 c,,2.470,
900,23.63760400,0.158000,,,,,5644.00,,0.97,,Kepler-199 b,,3.110,
901,67.09340800,0.316000,,,,,5644.00,,0.97,,Kepler-199 c,,3.250,
902,3.69612190,0.045370,0.320000,6.50000,86.500,290.00,5466.00,0.9120,0.94,,Kepler-20 b,8.70000,1.910,8.800
903,10.85409200,0.093000,0.400000,2.91000,88.390,290.00,5466.00,0.9120,0.94,,Kepler-20 c,16.10000,3.070,8.800
904,77.61184000,0.345300,0.600000,4.07000,89.570,290.00,5466.00,0.9120,0.94,,Kepler-20 d,20.10000,2.750,8.800
905,6.09849300,,0.280000,,87.500,290.00,5466.00,0.9120,0.94,,Kepler-20 e,3.08000,0.868,8.800
906,19.57706000,,0.320000,,88.680,290.00,5466.00,0.9120,0.94,,Kepler-20 f,14.30000,1.030,8.800
907,8.59480500,0.080000,,,,,5678.00,,0.94,,Kepler-200 b,,2.130,
908,10.22215700,0.090000,,,,,5678.00,,0.94,,Kepler-200 c,,1.590,
909,25.67208300,0.175000,,,,,6065.00,1.1700,1.23,,Kepler-201 b,,2.460,
910,151.88405800,0.573000,,,,,6065.00,1.1700,1.23,,Kepler-201 c,,2.850,
911,4.06942700,0.045000,,,,,4668.00,,0.67,,Kepler-202 b,,1.630,
912,16.28249300,0.113000,,,,,4668.00,,0.67,,Kepler-202 c,,1.850,
913,3.16269700,0.043000,,,,,5821.00,0.9800,1.11,,Kepler-203 b,,2.570,
914,5.37064700,0.061000,,,,,5821.00,0.9800,1.11,,Kepler-203 c,,2.470,
915,11.32972000,0.100000,,,,,5821.00,0.9800,1.11,,Kepler-203 d,,1.440,
916,14.40097400,0.117000,,,,,5812.00,0.9600,1.24,,Kepler-204 b,,2.530,
917,25.66059300,0.173000,,,,,5812.00,0.9600,1.24,,Kepler-204 c,,1.790,
918,2.75564000,0.032000,,,,,4321.00,,0.55,,Kepler-205 b,,1.510,
919,20.30654600,0.122000,,,,,4321.00,,0.55,,Kepler-205 c,,1.640,
920,7.78198700,0.078000,,,,,5764.00,0.9400,1.19,,Kepler-206 b,,1.200,
921,13.13747100,0.111000,,,,,5764.00,0.9400,1.19,,Kepler-206 c,,1.770,
922,23.44281000,0.163000,,,,,5764.00,0.9400,1.19,,Kepler-206 d,,1.190,
923,1.61186500,0.029000,,,,,5920.00,,1.59,,Kepler-207 b,,1.570,
924,3.07157100,0.044000,,,,,5920.00,,1.59,,Kepler-207 c,,1.500,
925,5.86807500,0.068000,,,,,5920.00,,1.59,,Kepler-207 d,,3.310,
926,4.22864000,0.054000,,,,,6092.00,1.0300,1.31,,Kepler-208 b,,1.630,
927,7.46662300,0.079000,,,,,6092.00,1.0300,1.31,,Kepler-208 c,,1.390,
928,11.13178600,0.103000,,,,,6092.00,1.0300,1.31,,Kepler-208 d,,1.200,
929,16.25945800,0.132000,,,,,6092.00,1.0300,1.31,,Kepler-208 e,,1.480,
930,16.08784500,0.122000,,,,,5513.00,,0.94,,Kepler-209 b,,2.260,
931,41.74988200,0.231000,,,,,5513.00,,0.94,,Kepler-209 c,,3.100,
932,2.78575500,0.042507,0.000000,12.90000,82.580,108.00,6131.00,1.3400,1.86,HD 179070,Kepler-21 b,10.40000,1.635,2.840
933,2.45323400,0.032000,,,,,4559.00,,0.65,,Kepler-210 b,,2.940,
934,7.97251300,0.070000,,,,,4559.00,,0.65,,Kepler-210 c,,3.620,
935,4.13857500,0.048000,,,,,5123.00,0.9700,0.82,,Kepler-211 b,,1.260,
936,6.04045000,0.062000,,,,,5123.00,0.9700,0.82,,Kepler-211 c,,1.290,
937,16.25758200,0.133000,,,,,5852.00,1.1600,1.46,,Kepler-212 b,,1.090,
938,31.80517400,0.207000,,,,,5852.00,1.1600,1.46,,Kepler-212 c,,2.740,
939,2.46236000,0.036000,,,,,5696.00,0.9400,1.20,,Kepler-213 b,,1.620,
940,4.82296200,0.057000,,,,,5696.00,0.9400,1.20,,Kepler-213 c,,2.340,
941,15.66054400,0.130000,,,,,6169.00,,1.35,,Kepler-214 b,,2.610,
942,28.77980000,0.194000,,,,,6169.00,,1.35,,Kepler-214 c,,2.130,
943,9.36067200,0.084000,,,,,5739.00,0.7700,1.03,,Kepler-215 b,,1.620,
944,14.66710800,0.113000,,,,,5739.00,0.7700,1.03,,Kepler-215 c,,1.770,
945,30.86442300,0.185000,,,,,5739.00,0.7700,1.03,,Kepler-215 d,,2.390,
946,68.16101000,0.314000,,,,,5739.00,0.7700,1.03,,Kepler-215 e,,1.750,
947,7.69364100,0.079000,,,,,6091.00,,1.26,,Kepler-216 b,,2.350,
948,17.40666900,0.136000,,,,,6091.00,,1.26,,Kepler-216 c,,3.040,
949,5.37494300,0.065000,,,,,6171.00,,1.80,,Kepler-217 b,,2.230,
950,8.58600400,0.089000,,,,,6171.00,,1.80,,Kepler-217 c,,1.850,
951,3.61933700,0.046000,,,,,5502.00,,1.06,,Kepler-218 b,,1.480,
952,44.69957600,0.248000,,,,,5502.00,,1.06,,Kepler-218 c,,3.140,
953,4.58551200,0.057000,,,,,5786.00,,1.49,,Kepler-219 b,,2.950,
954,22.71461300,0.165000,,,,,5786.00,,1.49,,Kepler-219 c,,3.580,
955,47.90364500,0.272000,,,,,5786.00,,1.49,,Kepler-219 d,,2.810,
956,289.86230000,0.849000,0.000000,14.70000,89.764,190.00,5518.00,0.9700,0.98,,Kepler-22 b,36.00000,2.380,
957,4.15980700,0.046000,,,,,4632.00,,0.67,,Kepler-220 b,,0.810,
958,9.03419900,0.076000,,,,,4632.00,,0.67,,Kepler-220 c,,1.570,
959,28.12239700,0.163000,,,,,4632.00,,0.67,,Kepler-220 d,,0.980,
960,45.90273300,0.226000,,,,,4632.00,,0.67,,Kepler-220 e,,1.330,
961,2.79590600,0.037000,,,,,5243.00,0.7200,0.82,,Kepler-221 b,,1.710,
962,5.69058600,0.059000,,,,,5243.00,0.7200,0.82,,Kepler-221 c,,2.930,
963,10.04156000,0.087000,,,,,5243.00,0.7200,0.82,,Kepler-221 d,,2.730,
964,18.36991700,0.130000,,,,,5243.00,0.7200,0.82,,Kepler-221 e,,2.630,
965,3.93698100,0.048000,,,,,5433.00,,0.87,,Kepler-222 b,,3.160,
966,10.08881000,0.091000,,,,,5433.00,,0.87,,Kepler-222 c,,4.640,
967,28.08191200,0.180000,,,,,5433.00,,0.87,,Kepler-222 d,,3.690,
968,7.38410800,0.073000,,,,,5829.00,,1.02,,Kepler-223 b,,1.690,
969,9.84818300,0.088000,,,,,5829.00,,1.02,,Kepler-223 c,,2.000,
970,14.78875900,0.116000,,,,,5829.00,,1.02,,Kepler-223 d,,2.980,
971,19.72173400,0.140000,,,,,5829.00,,1.02,,Kepler-223 e,,2.400,
972,3.13292400,0.038000,,,,,5018.00,0.7400,0.68,,Kepler-224 b,,1.390,
973,5.92500300,0.058000,,,,,5018.00,0.7400,0.68,,Kepler-224 c,,3.120,
974,11.34939300,0.089000,,,,,5018.00,0.7400,0.68,,Kepler-224 d,,2.300,
975,18.64357700,0.124000,,,,,5018.00,0.7400,0.68,,Kepler-224 e,,1.970,
976,6.73897500,0.056000,,,,,3682.00,,0.48,,Kepler-225 b,,1.200,
977,18.79423400,0.111000,,,,,3682.00,,0.48,,Kepler-225 c,,1.840,
978,3.94099700,0.047000,,,,,5571.00,0.8600,0.80,,Kepler-226 b,,1.550,
979,5.34955500,0.058000,,,,,5571.00,0.8600,0.80,,Kepler-226 c,,2.270,
980,8.10904400,0.076000,,,,,5571.00,0.8600,0.80,,Kepler-226 d,,1.220,
981,9.48801500,0.090000,,,,,5854.00,,1.09,,Kepler-227 b,,3.110,
982,54.41869400,0.290000,,,,,5854.00,,1.09,,Kepler-227 c,,3.040,
983,2.56654600,0.038000,,,,,6043.00,,1.01,,Kepler-228 b,,1.530,
984,4.13444400,0.052000,,,,,6043.00,,1.01,,Kepler-228 c,,2.700,
985,11.09428600,0.101000,,,,,6043.00,,1.01,,Kepler-228 d,,4.040,
986,6.25297200,0.062000,,,,,5120.00,,0.73,,Kepler-229 b,,2.200,
987,16.06863800,0.117000,,,,,5120.00,,0.73,,Kepler-229 c,,4.920,
988,41.19491200,0.220000,,,,,5120.00,,0.73,,Kepler-229 d,,3.850,
989,7.10730000,0.075000,,,,800.00,5828.00,1.1100,1.55,,Kepler-23 b,254.30000,1.900,6.000
990,10.74210000,0.099000,,,,800.00,5828.00,1.1100,1.55,,Kepler-23 c,858.10000,3.200,6.000
991,15.27429900,0.124000,,,,800.00,5828.00,1.1100,1.55,,Kepler-23 d,,2.200,6.000
992,32.62555500,0.191000,,,,,5588.00,,0.82,,Kepler-230 b,,4.260,
993,91.77324200,0.380000,,,,,5588.00,,0.82,,Kepler-230 c,,2.040,
994,10.06527500,0.074000,,,,,3767.00,0.5800,0.49,,Kepler-231 b,,1.730,
995,19.27156600,0.114000,,,,,3767.00,0.5800,0.49,,Kepler-231 c,,1.930,
996,4.43122200,0.054000,,,,,5847.00,,0.97,,Kepler-232 b,,3.080,
997,11.37934900,0.101000,,,,,5847.00,,0.97,,Kepler-232 c,,3.830,
998,8.47238200,0.077000,,,,,5360.00,,0.76,,Kepler-233 b,,2.430,
999,60.41895500,0.287000,,,,,5360.00,,0.76,,Kepler-233 c,,2.710,
1000,2.71150600,0.040000,,,,,6224.00,,1.11,,Kepler-234 b,,3.700,
1001,7.21205000,0.077000,,,,,6224.00,,1.11,,Kepler-234 c,,3.510,
1002,3.34022200,0.037000,,,,,4255.00,0.5900,0.55,,Kepler-235 b,,2.230,
1003,7.82490400,0.065000,,,,,4255.00,0.5900,0.55,,Kepler-235 c,,1.280,
1004,20.06054800,0.122000,,,,,4255.00,0.5900,0.55,,Kepler-235 d,,2.050,
1005,46.18366900,0.213000,,,,,4255.00,0.5900,0.55,,Kepler-235 e,,2.220,
1006,8.29561100,0.065000,,,,,3750.00,0.5600,0.51,,Kepler-236 b,,1.570,
1007,23.96812700,0.132000,,,,,3750.00,0.5600,0.51,,Kepler-236 c,,2.000,
1008,4.71510600,0.050000,,,,,4861.00,0.7000,0.72,,Kepler-237 b,,1.410,
1009,8.10363600,0.071000,,,,,4861.00,0.7000,0.72,,Kepler-237 c,,2.080,
1010,2.09087600,0.034000,,,,,5751.00,1.0600,1.43,,Kepler-238 b,,1.730,
1011,6.15555700,0.069000,,,,,5751.00,1.0600,1.43,,Kepler-238 c,,2.390,
1012,13.23354900,0.115000,,,,,5751.00,1.0600,1.43,,Kepler-238 d,,3.070,
1013,23.65400000,,,,,,5751.00,1.0600,1.43,,Kepler-238 e,169.70000,5.600,
1014,50.44700000,,,,,,5751.00,1.0600,1.43,,Kepler-238 f,13.50000,2.000,
1015,11.76305100,0.095000,,,,,4914.00,0.7400,0.76,,Kepler-239 b,,2.330,
1016,56.22809800,0.268000,,,,,4914.00,0.7400,0.76,,Kepler-239 c,,2.510,
1017,8.14530000,0.080000,,,,1200.00,5897.00,1.0300,1.29,,Kepler-24 b,508.50000,2.400,7.700
1018,12.33350000,0.106000,,,,1200.00,5897.00,1.0300,1.29,,Kepler-24 c,508.50000,2.800,7.700
1019,4.24438400,0.051000,,,,1200.00,5897.00,1.0300,1.29,,Kepler-24 d,,1.670,7.700
1020,18.99835500,0.138000,,,,1200.00,5897.00,1.0300,1.29,,Kepler-24 e,,2.780,7.700
1021,4.14449500,0.048000,,,,,4985.00,,0.74,,Kepler-240 b,,1.370,
1022,7.95352800,0.074000,,,,,4985.00,,0.74,,Kepler-240 c,,2.200,
1023,12.71809200,0.094000,,,,,4699.00,,0.67,,Kepler-241 b,,2.330,
1024,36.06597800,0.189000,,,,,4699.00,,0.67,,Kepler-241 c,,2.570,
1025,8.20395000,0.075000,,,,,5020.00,,0.85,,Kepler-242 b,,2.610,
1026,14.49648100,0.109000,,,,,5020.00,,0.85,,Kepler-242 c,,2.000,
1027,5.71544200,0.062000,,,,,5228.00,0.8900,0.84,,Kepler-243 b,,2.450,
1028,20.02621800,0.142000,,,,,5228.00,0.8900,0.84,,Kepler-243 c,,1.990,
1029,4.31179200,0.050000,,,,,5554.00,,0.80,,Kepler-244 b,,2.760,
1030,9.76729200,0.087000,,,,,5554.00,,0.80,,Kepler-244 c,,2.050,
1031,20.05040100,0.140000,,,,,5554.00,,0.80,,Kepler-244 d,,2.310,
1032,7.49019000,0.071000,,,,,5100.00,0.8000,0.80,,Kepler-245 b,,2.570,
1033,17.46081200,0.124000,,,,,5100.00,0.8000,0.80,,Kepler-245 c,,2.180,
1034,36.27710800,0.202000,,,,,5100.00,0.8000,0.80,,Kepler-245 d,,3.030,
1035,4.60182000,0.052000,,,,,5206.00,0.8600,0.83,,Kepler-246 b,,2.340,
1036,11.18716100,0.095000,,,,,5206.00,0.8600,0.83,,Kepler-246 c,,1.500,
1037,3.33616000,0.042000,,,,,5100.00,,0.77,,Kepler-247 b,,1.640,
1038,9.43945200,0.084000,,,,,5100.00,,0.77,,Kepler-247 c,,4.090,
1039,20.47791200,0.140000,,,,,5100.00,,0.77,,Kepler-247 d,,3.940,
1040,6.30820500,0.066000,,,,,5190.00,,0.83,,Kepler-248 b,,3.020,
1041,16.23949400,0.123000,,,,,5190.00,,0.83,,Kepler-248 c,,4.070,
1042,3.30653900,0.035000,,,,,3568.00,,0.48,,Kepler-249 b,,1.090,
1043,7.11370200,0.058000,,,,,3568.00,,0.48,,Kepler-249 c,,1.510,
1044,15.36845900,0.097000,,,,,3568.00,,0.48,,Kepler-249 d,,1.570,
1045,6.23850000,0.068000,,,,,6270.00,1.1900,1.31,,Kepler-25 b,4036.30000,2.600,11.000
1046,12.72040000,0.110000,,,,,6270.00,1.1900,1.31,,Kepler-25 c,1322.12000,4.500,11.000
